epoch,train_loss,bleu,rouge_l,lr,best_bleu,best_rouge_l
1,5.396165221335878,0.022349317785697962,0.11459284896516278,0.001,0.022349317785697962,0.11459284896516278
2,4.3805764818571475,0.02340445949677528,0.11433677861638723,0.001,0.02340445949677528,0.11459284896516278
3,4.109974322565998,0.026317174640876333,0.12488083852160987,0.001,0.026317174640876333,0.12488083852160987
4,3.957673952399022,0.02615466724259881,0.12654505646939085,0.001,0.026317174640876333,0.12654505646939085
5,3.8513435792638013,0.028089404523617936,0.12909846301069067,0.001,0.028089404523617936,0.12909846301069067
6,3.7720002631742164,0.02888405064147671,0.1321873693565638,0.001,0.02888405064147671,0.1321873693565638
7,3.7097898009288834,0.0295832317479163,0.13480464764205163,0.001,0.0295832317479163,0.13480464764205163
8,3.659988187223792,0.02998224630924626,0.13311366972488678,0.001,0.02998224630924626,0.13480464764205163
9,3.6185550366739827,0.030135937762130555,0.1364506560793166,0.001,0.030135937762130555,0.1364506560793166
10,3.584019021683955,0.030818063958146073,0.13652830697638485,0.001,0.030818063958146073,0.13652830697638485
11,3.5544864528207665,0.030675392118764806,0.136600223164915,0.001,0.030818063958146073,0.136600223164915
12,3.5283137016087416,0.03080964849675175,0.1361653480002128,0.001,0.030818063958146073,0.136600223164915
13,3.506131597486625,0.031178490726880958,0.13672320321572712,0.001,0.031178490726880958,0.13672320321572712
14,3.485466305953098,0.030588624000245597,0.13507779214688453,0.001,0.031178490726880958,0.13672320321572712
15,3.4675686974449462,0.029921910272873487,0.1349383664380495,0.001,0.031178490726880958,0.13672320321572712
16,3.450956273363881,0.031479114027846956,0.13580246460772688,0.001,0.031479114027846956,0.13672320321572712
17,3.4358575655169696,0.03125349323794927,0.13650583179866033,0.001,0.031479114027846956,0.13672320321572712
18,3.4223023246958912,0.03057544866105921,0.1356993549810232,0.001,0.031479114027846956,0.13672320321572712
19,3.409819068661724,0.031163512668747315,0.13623217142007077,0.001,0.031479114027846956,0.13672320321572712
20,3.397497798817091,0.03076145296941995,0.13536366678826217,0.001,0.031479114027846956,0.13672320321572712
